loss,acc,recall_2,precision_2,auc_2,true_positives_2,true_negatives_2,false_negatives_2,false_positives_2,val_loss,val_acc,val_recall_2,val_precision_2,val_auc_2,val_true_positives_2,val_true_negatives_2,val_false_negatives_2,val_false_positives_2
1.8587583303451538,0.45182228088378906,0.2612331509590149,0.5784963965415955,0.7292730212211609,2093.0,46547.0,5919.0,1525.0,2.123622417449951,0.6679980158805847,0.6679980158805847,0.6679980158805847,0.8140339255332947,1338.0,11353.0,665.0,665.0
1.3407998085021973,0.6329256296157837,0.5269595384597778,0.6993539929389954,0.850612223148346,4222.0,46257.0,3790.0,1815.0,1.1710877418518066,0.6679980158805847,0.6679980158805847,0.6679980158805847,0.8962634801864624,1338.0,11353.0,665.0,665.0
1.2564119100570679,0.6506490111351013,0.5530454516410828,0.7063605785369873,0.8687267303466797,4431.0,46230.0,3581.0,1842.0,1.066947102546692,0.6679980158805847,0.6550174951553345,0.6975013017654419,0.9014904499053955,1312.0,11449.0,691.0,569.0
1.1955024003982544,0.6570144891738892,0.5698951482772827,0.7104403376579285,0.877622127532959,4566.0,46211.0,3446.0,1861.0,1.0749119520187378,0.6679980158805847,0.6650025248527527,0.6754564046859741,0.9039580821990967,1332.0,11378.0,671.0,640.0
1.161502718925476,0.6607588529586792,0.5813779234886169,0.7160645723342896,0.8825542330741882,4658.0,46225.0,3354.0,1847.0,1.0946162939071655,0.6679980158805847,0.667498767375946,0.668165922164917,0.9005239009857178,1337.0,11354.0,666.0,664.0
1.137027621269226,0.6603844165802002,0.5802546143531799,0.7169956564903259,0.8858522176742554,4649.0,46237.0,3363.0,1835.0,1.1735466718673706,0.6679980158805847,0.2730903625488281,0.8879870176315308,0.8990564346313477,547.0,11949.0,1456.0,69.0
1.1195104122161865,0.664877712726593,0.585122287273407,0.7216748595237732,0.8883771896362305,4688.0,46264.0,3324.0,1808.0,1.7417628765106201,0.6679980158805847,0.6679980158805847,0.6679980158805847,0.8851131200790405,1338.0,11353.0,665.0,665.0
1.098994493484497,0.665252149105072,0.5846230387687683,0.7218369841575623,0.892741858959198,4684.0,46267.0,3328.0,1805.0,1.1188329458236694,0.6679980158805847,0.534697949886322,0.8052631616592407,0.8984147310256958,1071.0,11759.0,932.0,259.0
1.097022533416748,0.6691213250160217,0.5882426500320435,0.7229636311531067,0.8929777145385742,4713.0,46266.0,3299.0,1806.0,1.1160876750946045,0.667498767375946,0.534697949886322,0.8028485774993896,0.8972160816192627,1071.0,11755.0,932.0,263.0
1.0930477380752563,0.6693709492683411,0.5873689651489258,0.7310858964920044,0.893803060054779,4706.0,46341.0,3306.0,1731.0,1.0649387836456299,0.6679980158805847,0.6475287079811096,0.7099069356918335,0.9052832126617432,1297.0,11488.0,706.0,530.0
1.0864826440811157,0.666375458240509,0.5886170864105225,0.7280024886131287,0.8950449228286743,4716.0,46310.0,3296.0,1762.0,1.2432634830474854,0.6729905009269714,0.15426859259605408,0.895652174949646,0.8906862735748291,309.0,11982.0,1694.0,36.0
1.0820120573043823,0.6691213250160217,0.5967299342155457,0.7320471405982971,0.8957025408744812,4781.0,46322.0,3231.0,1750.0,1.0974751710891724,0.6679980158805847,0.5017473697662354,0.8137651681900024,0.9034814834594727,1005.0,11788.0,998.0,230.0
1.0731794834136963,0.6672491431236267,0.5866200923919678,0.7317453026771545,0.8977184295654297,4700.0,46349.0,3312.0,1723.0,1.3770931959152222,0.6260609030723572,0.04393409937620163,0.9166666865348816,0.8717330694198608,88.0,12010.0,1915.0,8.0
1.076734185218811,0.6689965128898621,0.5846230387687683,0.7335943579673767,0.8973355293273926,4684.0,46371.0,3328.0,1701.0,1.0521187782287598,0.6679980158805847,0.6295556426048279,0.7474807500839233,0.9063794016838074,1261.0,11592.0,742.0,426.0
1.069578766822815,0.6694957613945007,0.5928606986999512,0.7352941036224365,0.8979999423027039,4750.0,46362.0,3262.0,1710.0,1.0779131650924683,0.6734897494316101,0.5012481212615967,0.8149350881576538,0.9029463529586792,1004.0,11790.0,999.0,228.0
1.0697753429412842,0.6709935069084167,0.5902396440505981,0.7385600209236145,0.8981655240058899,4729.0,46398.0,3283.0,1674.0,1.079879879951477,0.667498767375946,0.5411882400512695,0.8047512769699097,0.9018245935440063,1084.0,11755.0,919.0,263.0
1.0681668519973755,0.6713679432868958,0.5916125774383545,0.7392389178276062,0.898212194442749,4740.0,46400.0,3272.0,1672.0,1.6037507057189941,0.30654019117355347,0.000499251123983413,1.0,0.7611957788467407,1.0,12018.0,2002.0,0.0
1.0673015117645264,0.6699950098991394,0.5857464075088501,0.7396374940872192,0.8984869122505188,4693.0,46420.0,3319.0,1652.0,1.070910096168518,0.6669995188713074,0.5282076597213745,0.8076335787773132,0.9061715602874756,1058.0,11766.0,945.0,252.0
1.0642082691192627,0.6687468886375427,0.5921118259429932,0.7410184144973755,0.8993588089942932,4744.0,46414.0,3268.0,1658.0,1.6765602827072144,0.32700949907302856,0.019970044493675232,0.8888888955116272,0.7377616763114929,40.0,12013.0,1963.0,5.0
1.0564669370651245,0.6698701977729797,0.5921118259429932,0.7390559315681458,0.9002683162689209,4744.0,46397.0,3268.0,1675.0,1.1929131746292114,0.6734897494316101,0.27109336853027344,0.8843648433685303,0.8921330571174622,543.0,11947.0,1460.0,71.0
