loss,accuracy,recall_3,precision_3,auc_3,true_positives_3,true_negatives_3,false_negatives_3,false_positives_3,val_loss,val_accuracy,val_recall_3,val_precision_3,val_auc_3,val_true_positives_3,val_true_negatives_3,val_false_negatives_3,val_false_positives_3
1.7332667112350464,0.5032042264938354,0.31471163034439087,0.6506336331367493,0.7797935009002686,2259.0,41855.0,4919.0,1213.0,1.391215205192566,0.6122194528579712,0.5399002432823181,0.7180762887001038,0.8714879751205444,433.0,4642.0,369.0,170.0
1.1437418460845947,0.6543605327606201,0.5532181859016418,0.7610195279121399,0.8934064507484436,3971.0,41821.0,3207.0,1247.0,1.185987949371338,0.6483790278434753,0.5735660791397095,0.7504078149795532,0.9052191376686096,460.0,4659.0,342.0,153.0
1.042659878730774,0.6666202545166016,0.5689607262611389,0.7619403004646301,0.910652220249176,4084.0,41792.0,3094.0,1276.0,1.031480312347412,0.6446384191513062,0.6172069907188416,0.6971830725669861,0.9135251045227051,495.0,4597.0,307.0,215.0
1.0045031309127808,0.6733072996139526,0.5810810923576355,0.7704100608825684,0.9167389869689941,4171.0,41825.0,3007.0,1243.0,1.0017409324645996,0.6408977508544922,0.6059850454330444,0.7023121118545532,0.9203216433525085,486.0,4606.0,316.0,206.0
0.9551374316215515,0.6742825508117676,0.5867930054664612,0.7789902091026306,0.9237871766090393,4212.0,41873.0,2966.0,1195.0,0.9899362921714783,0.6596009731292725,0.6246882677078247,0.7271407842636108,0.9191175699234009,501.0,4624.0,301.0,188.0
0.9095723628997803,0.6855555772781372,0.5872222185134888,0.7885117530822754,0.9301698803901672,4228.0,42066.0,2972.0,1134.0,0.9888116121292114,0.6446384191513062,0.5885286927223206,0.739811897277832,0.9197350144386292,472.0,4646.0,330.0,166.0
0.8939293026924133,0.6813875436782837,0.5913903713226318,0.7942001819610596,0.9328163266181946,4245.0,41968.0,2933.0,1100.0,0.9370557069778442,0.6546134948730469,0.5922693014144897,0.7636656165122986,0.9260358810424805,475.0,4665.0,327.0,147.0
0.8829267024993896,0.6819448471069336,0.5860964059829712,0.7993539571762085,0.9342037439346313,4207.0,42012.0,2971.0,1056.0,0.9831424355506897,0.66209477186203,0.6009975075721741,0.7381317019462585,0.9212169647216797,482.0,4641.0,320.0,171.0
0.8844034671783447,0.6887712478637695,0.5888826847076416,0.797396719455719,0.9347869753837585,4227.0,41994.0,2951.0,1074.0,0.964066207408905,0.6546134948730469,0.5835411548614502,0.7524116039276123,0.9225530624389648,468.0,4658.0,334.0,154.0
0.8723713159561157,0.6910002827644348,0.5937587022781372,0.7969334125518799,0.9360414147377014,4262.0,41982.0,2916.0,1086.0,0.9151463508605957,0.6670823097229004,0.5723192095756531,0.7675585150718689,0.9301255941390991,459.0,4673.0,343.0,139.0
0.8671137690544128,0.6933686137199402,0.5943159461021423,0.8038439750671387,0.9365361928939819,4266.0,42027.0,2912.0,1041.0,0.8980110287666321,0.6670823097229004,0.5723192095756531,0.7819420695304871,0.9321108460426331,459.0,4684.0,343.0,128.0
0.8657782077789307,0.6939258575439453,0.5969629287719727,0.8028855323791504,0.9367430806159973,4285.0,42016.0,2893.0,1052.0,0.9346802234649658,0.6571072340011597,0.5910224318504333,0.7694805264472961,0.9279078245162964,474.0,4670.0,328.0,142.0
0.8637275099754333,0.6879353523254395,0.5895792841911316,0.8045627474784851,0.9375856518745422,4232.0,42040.0,2946.0,1028.0,0.9165979027748108,0.6683291792869568,0.5947631001472473,0.7806873917579651,0.9292380213737488,477.0,4678.0,325.0,134.0
0.8479254841804504,0.6962942481040955,0.6026748418807983,0.804537832736969,0.9395222067832947,4326.0,42017.0,2852.0,1051.0,0.9255580306053162,0.6670823097229004,0.5960099697113037,0.7672551870346069,0.9286315441131592,478.0,4667.0,324.0,145.0
0.8560799956321716,0.6929506659507751,0.6015602946281433,0.7987421154975891,0.9380770921707153,4318.0,41980.0,2860.0,1088.0,0.9127012491226196,0.665835440158844,0.5623441338539124,0.7940140962600708,0.9292725324630737,451.0,4695.0,351.0,117.0
0.851841390132904,0.691975474357605,0.5943159461021423,0.8015783429145813,0.939045786857605,4266.0,42012.0,2912.0,1056.0,0.916928768157959,0.6670823097229004,0.5847880244255066,0.7752066254615784,0.9294003248214722,469.0,4676.0,333.0,136.0
0.8556984663009644,0.6891891956329346,0.5929228067398071,0.7973023653030396,0.9384042620658875,4256.0,41986.0,2922.0,1082.0,0.9261757135391235,0.665835440158844,0.6059850454330444,0.7702060341835022,0.928559422492981,486.0,4667.0,316.0,145.0
0.8397507071495056,0.6929506659507751,0.5959877371788025,0.8102272748947144,0.9406401515007019,4278.0,42066.0,2900.0,1002.0,0.9148972630500793,0.6807979941368103,0.5935162305831909,0.7702265381813049,0.9299656748771667,476.0,4670.0,326.0,142.0
0.8343546390533447,0.6988018751144409,0.5979381203651428,0.8084384799003601,0.9415496587753296,4292.0,42051.0,2886.0,1017.0,0.9276753664016724,0.6733167171478271,0.6159601211547852,0.7417417168617249,0.9303439259529114,494.0,4640.0,308.0,172.0
0.844224214553833,0.6967121958732605,0.6033714413642883,0.7999630570411682,0.9402686953544617,4331.0,41985.0,2847.0,1083.0,0.8957752585411072,0.6708229184150696,0.5835411548614502,0.795918345451355,0.9318960309028625,468.0,4692.0,334.0,120.0
0.8349859714508057,0.699637770652771,0.6001671552658081,0.8052336573600769,0.9413754343986511,4308.0,42026.0,2870.0,1042.0,0.9230847358703613,0.6695760488510132,0.6097257137298584,0.767660915851593,0.9285603165626526,489.0,4664.0,313.0,148.0
