loss,acc,recall,precision,auc,true_positives,true_negatives,false_negatives,false_positives,val_loss,val_acc,val_recall,val_precision,val_auc,val_true_positives,val_true_negatives,val_false_negatives,val_false_positives
1.2232651710510254,0.6220395565032959,0.47130119800567627,0.7454825639724731,0.8833165764808655,3383.0,41913.0,3795.0,1155.0,1.2146270275115967,0.6521196961402893,0.2082294225692749,0.9653179049491882,0.9078218936920166,167.0,4806.0,635.0,6.0
1.010219931602478,0.661465585231781,0.5196433663368225,0.8007728457450867,0.9172351360321045,3730.0,42140.0,3448.0,928.0,0.9478837251663208,0.66209477186203,0.43890273571014404,0.8712871074676514,0.9259555339813232,352.0,4760.0,450.0,52.0
0.9524998068809509,0.6751184463500977,0.5394260287284851,0.8149863481521606,0.9258520007133484,3872.0,42189.0,3306.0,879.0,0.9298085570335388,0.6645885109901428,0.46508729457855225,0.85550457239151,0.9297946095466614,373.0,4749.0,429.0,63.0
0.9108436107635498,0.6790192127227783,0.5569796562194824,0.8154191374778748,0.9315738677978516,3998.0,42163.0,3180.0,905.0,0.9711630940437317,0.6683291792869568,0.5972568392753601,0.7801302671432495,0.9229685068130493,479.0,4677.0,323.0,135.0
0.8975530862808228,0.6816661953926086,0.5568403601646423,0.8224279880523682,0.9337631464004517,3997.0,42205.0,3181.0,863.0,0.9106467962265015,0.6608479022979736,0.4862842857837677,0.8496732115745544,0.9307395815849304,390.0,4743.0,412.0,69.0
0.8757534027099609,0.6873781085014343,0.5651991963386536,0.8219205737113953,0.936749279499054,4057.0,42189.0,3121.0,879.0,0.9591485261917114,0.665835440158844,0.5224438905715942,0.8167641162872314,0.9245346784591675,419.0,4718.0,383.0,94.0
0.8554011583328247,0.6928113698959351,0.5787127614021301,0.8194910287857056,0.9391216039657593,4154.0,42153.0,3024.0,915.0,0.8721311688423157,0.6758104562759399,0.5523690581321716,0.8234200477600098,0.9359656572341919,443.0,4717.0,359.0,95.0
0.8484305143356323,0.6968514919281006,0.5773195624351501,0.8259916305541992,0.9402047395706177,4144.0,42195.0,3034.0,873.0,1.0179593563079834,0.6446384191513062,0.3778054714202881,0.848739504814148,0.917772114276886,303.0,4758.0,499.0,54.0
0.8228573799133301,0.7053496837615967,0.5915296673774719,0.8296209573745728,0.943423330783844,4246.0,42196.0,2932.0,872.0,0.8944427967071533,0.6758104562759399,0.4725685715675354,0.8752886652946472,0.9355650544166565,379.0,4758.0,423.0,54.0
0.8162183165550232,0.7040958404541016,0.5968236327171326,0.8278260827064514,0.9446195363998413,4284.0,42177.0,2894.0,891.0,0.8503134250640869,0.7044887542724609,0.5174563527107239,0.8592132329940796,0.9428611993789673,415.0,4744.0,387.0,68.0
0.8006209135055542,0.7135692238807678,0.6050431728363037,0.8305603265762329,0.9466382265090942,4343.0,42182.0,2835.0,886.0,0.9394858479499817,0.6845386624336243,0.4600997567176819,0.8463302850723267,0.9340620040893555,369.0,4745.0,433.0,67.0
0.7850083112716675,0.7173307538032532,0.61521315574646,0.8316383957862854,0.948527455329895,4416.0,42174.0,2762.0,894.0,0.7843176126480103,0.7057356834411621,0.5635910034179688,0.8480300307273865,0.9490736126899719,452.0,4731.0,350.0,81.0
0.7662749886512756,0.7187238931655884,0.6193925738334656,0.8259335160255432,0.9508398771286011,4446.0,42131.0,2732.0,937.0,0.9538174867630005,0.6483790278434753,0.4139650762081146,0.8058252334594727,0.9294440746307373,332.0,4732.0,470.0,80.0
0.7654616832733154,0.7223460674285889,0.6216216087341309,0.8276757597923279,0.9511925578117371,4462.0,42139.0,2716.0,929.0,0.9266610145568848,0.6708229184150696,0.471321702003479,0.8253275156021118,0.9317259788513184,378.0,4732.0,424.0,80.0
0.7614626288414001,0.7256895899772644,0.6259403824806213,0.8348197937011719,0.9517191648483276,4493.0,42179.0,2685.0,889.0,0.8353797197341919,0.7069825530052185,0.5261845588684082,0.850806474685669,0.9454275369644165,422.0,4738.0,380.0,74.0
0.7380396723747253,0.7300083637237549,0.6369462013244629,0.8341543674468994,0.9544048309326172,4572.0,42159.0,2606.0,909.0,0.7753105163574219,0.723192036151886,0.5997506380081177,0.8222222328186035,0.9496365189552307,481.0,4708.0,321.0,104.0
0.7383225560188293,0.7290331721305847,0.6326274871826172,0.8368964195251465,0.9541522860527039,4541.0,42183.0,2637.0,885.0,0.7787932753562927,0.7119700908660889,0.6059850454330444,0.8209459185600281,0.9482230544090271,486.0,4706.0,316.0,106.0
0.7323744893074036,0.7298690676689148,0.6405683755874634,0.8325185775756836,0.9550514817237854,4598.0,42143.0,2580.0,925.0,0.7610089182853699,0.7182044982910156,0.5847880244255066,0.8156521916389465,0.9509595632553101,469.0,4706.0,333.0,106.0
0.7126575112342834,0.7376706600189209,0.6418222188949585,0.8317385911941528,0.9570868015289307,4607.0,42136.0,2571.0,932.0,0.7464481592178345,0.7206982374191284,0.5810473561286926,0.8472727537155151,0.9548778533935547,466.0,4728.0,336.0,84.0
0.7128173112869263,0.7346057295799255,0.6499024629592896,0.8343766927719116,0.9571195840835571,4665.0,42142.0,2513.0,926.0,0.8147907853126526,0.6882793307304382,0.5710723400115967,0.8091872930526733,0.9438254833221436,458.0,4704.0,344.0,108.0
